  + Number of params: 9.11M
0 optim: 5e-05
epoch 000 batch 1200, dist_emloss:2.355985641479492, dist_l2loss:2.944974899291992, intensity_loss:6.020352363586426, rgb_loss:0.5796424746513367, ambient_loss:0.1490975320339203
epoch 000 batch 1210, dist_emloss:2.3329286575317383, dist_l2loss:2.916166067123413, intensity_loss:1.802328109741211, rgb_loss:0.7480138540267944, ambient_loss:0.1360217034816742
epoch 000 batch 1220, dist_emloss:2.786625385284424, dist_l2loss:3.483283281326294, intensity_loss:2.8636035919189453, rgb_loss:1.3300679922103882, ambient_loss:0.1432589739561081
saving the model at the end of epoch 0
1 optim: 5e-05
epoch 001 batch 000, dist_emloss:4.1377949714660645, dist_l2loss:5.172248840332031, intensity_loss:4.623866081237793, rgb_loss:1.7054203748703003, ambient_loss:0.1821780800819397
saving the latest model
epoch 001 batch 010, dist_emloss:4.121203899383545, dist_l2loss:5.15150785446167, intensity_loss:25.607269287109375, rgb_loss:0.7534043192863464, ambient_loss:0.12219171226024628
epoch 001 batch 020, dist_emloss:3.3571743965148926, dist_l2loss:4.196470737457275, intensity_loss:2.9521355628967285, rgb_loss:0.8413477540016174, ambient_loss:0.12490294873714447
epoch 001 batch 030, dist_emloss:3.464658260345459, dist_l2loss:4.330824375152588, intensity_loss:2.71341872215271, rgb_loss:1.236804723739624, ambient_loss:0.10997664928436279
epoch 001 batch 040, dist_emloss:3.3141028881073, dist_l2loss:4.142632007598877, intensity_loss:3.072486639022827, rgb_loss:0.901380717754364, ambient_loss:0.10215878486633301
epoch 001 batch 050, dist_emloss:2.0923564434051514, dist_l2loss:2.615438461303711, intensity_loss:1.8960613012313843, rgb_loss:0.39805835485458374, ambient_loss:0.07105491310358047
epoch 001 batch 060, dist_emloss:3.741647243499756, dist_l2loss:4.677061080932617, intensity_loss:2.8940370082855225, rgb_loss:1.1239415407180786, ambient_loss:0.09431620687246323
epoch 001 batch 070, dist_emloss:2.8540291786193848, dist_l2loss:3.567532539367676, intensity_loss:1.8301352262496948, rgb_loss:0.3532043993473053, ambient_loss:0.0656517893075943
epoch 001 batch 080, dist_emloss:2.592656135559082, dist_l2loss:3.2408218383789062, intensity_loss:0.8673195242881775, rgb_loss:0.48381510376930237, ambient_loss:0.06944243609905243
epoch 001 batch 090, dist_emloss:3.3385801315307617, dist_l2loss:4.1732282638549805, intensity_loss:1.7908629179000854, rgb_loss:0.6839542388916016, ambient_loss:0.046563632786273956
epoch 001 batch 100, dist_emloss:2.6655616760253906, dist_l2loss:3.33195424079895, intensity_loss:2.4742820262908936, rgb_loss:0.5049216747283936, ambient_loss:0.0459824800491333
epoch 001 batch 110, dist_emloss:4.094277858734131, dist_l2loss:5.117849349975586, intensity_loss:1.7386544942855835, rgb_loss:1.6519403457641602, ambient_loss:0.035991668701171875
epoch 001 batch 120, dist_emloss:2.2862415313720703, dist_l2loss:2.857795476913452, intensity_loss:1.7204872369766235, rgb_loss:1.3824150562286377, ambient_loss:0.0359761044383049
epoch 001 batch 130, dist_emloss:3.296057939529419, dist_l2loss:4.120074272155762, intensity_loss:1.857290267944336, rgb_loss:0.736709713935852, ambient_loss:0.033588845282793045
epoch 001 batch 140, dist_emloss:3.252096176147461, dist_l2loss:4.065124034881592, intensity_loss:1.1625722646713257, rgb_loss:0.8409479856491089, ambient_loss:0.019062690436840057
epoch 001 batch 150, dist_emloss:2.340780735015869, dist_l2loss:2.9259750843048096, intensity_loss:2.2989022731781006, rgb_loss:0.7886553406715393, ambient_loss:0.01947137340903282
epoch 001 batch 160, dist_emloss:2.589529275894165, dist_l2loss:3.236912965774536, intensity_loss:1.2505335807800293, rgb_loss:0.9115851521492004, ambient_loss:0.013831932097673416
epoch 001 batch 170, dist_emloss:3.0252938270568848, dist_l2loss:3.781618118286133, intensity_loss:2.17732310295105, rgb_loss:0.6189770698547363, ambient_loss:0.013987674377858639
epoch 001 batch 180, dist_emloss:2.7317638397216797, dist_l2loss:3.4147095680236816, intensity_loss:1.2345854043960571, rgb_loss:0.645460307598114, ambient_loss:0.013684898614883423
epoch 001 batch 190, dist_emloss:2.5896825790405273, dist_l2loss:3.23710560798645, intensity_loss:1.6938552856445312, rgb_loss:0.8989378809928894, ambient_loss:0.008204201236367226
epoch 001 batch 200, dist_emloss:4.069301605224609, dist_l2loss:5.0866289138793945, intensity_loss:1.3888769149780273, rgb_loss:1.6514655351638794, ambient_loss:0.012170696631073952
epoch 001 batch 210, dist_emloss:2.9813387393951416, dist_l2loss:3.7266740798950195, intensity_loss:0.9738435745239258, rgb_loss:0.7406999468803406, ambient_loss:0.00836494192481041
epoch 001 batch 220, dist_emloss:2.634162425994873, dist_l2loss:3.292705535888672, intensity_loss:0.9003550410270691, rgb_loss:0.9810331463813782, ambient_loss:0.012719562277197838
epoch 001 batch 230, dist_emloss:2.6479554176330566, dist_l2loss:3.309945583343506, intensity_loss:0.7148208022117615, rgb_loss:1.0131309032440186, ambient_loss:0.010856087319552898
epoch 001 batch 240, dist_emloss:2.572540283203125, dist_l2loss:3.2156758308410645, intensity_loss:0.8235512971878052, rgb_loss:0.46153944730758667, ambient_loss:0.009047050029039383
epoch 001 batch 250, dist_emloss:3.2006642818450928, dist_l2loss:4.0008320808410645, intensity_loss:1.475205659866333, rgb_loss:0.9444048404693604, ambient_loss:0.009361380711197853
epoch 001 batch 260, dist_emloss:2.959407329559326, dist_l2loss:3.6992602348327637, intensity_loss:1.4505776166915894, rgb_loss:1.1244773864746094, ambient_loss:0.008787794038653374
epoch 001 batch 270, dist_emloss:3.4792370796203613, dist_l2loss:4.3490471839904785, intensity_loss:5.012977123260498, rgb_loss:1.1743948459625244, ambient_loss:0.010619650594890118
